,query_id,recommendations
0,-4110354420726924665,"[('-7926018713416777892', 0.8227109494395495), ('-2148899391355011268', 0.8135846824401898), ('2448026894306402386', 0.7563021908377766), ('-7292285110016212249', 0.7444880890590411), ('3353902017498793780', 0.7365608524203918)]"
1,-7292285110016212249,"[('3353902017498793780', 0.7865576688820212), ('-7926018713416777892', 0.7773004682106526), ('2448026894306402386', 0.7630085641170508), ('-4110354420726924665', 0.7444880890590411), ('4119190424078847945', 0.702261658662254)]"
2,-6151852268067518688,"[('2448026894306402386', 0.6360599426048656), ('-7292285110016212249', 0.6235453001996863), ('-2826566343807132236', 0.5982328199312373), ('-7926018713416777892', 0.5815126136991144), ('3353902017498793780', 0.5625766256164919)]"
3,2448026894306402386,"[('-7926018713416777892', 0.7948928334624842), ('-7292285110016212249', 0.7630085641170508), ('-4110354420726924665', 0.7563021908377766), ('-2826566343807132236', 0.7556708322946805), ('3353902017498793780', 0.7535014584226902)]"
4,-2826566343807132236,"[('2448026894306402386', 0.7556708322946805), ('3353902017498793780', 0.7116634542209107), ('-7292285110016212249', 0.6762507909624325), ('-7926018713416777892', 0.6505760583755748), ('-6151852268067518688', 0.5982328199312373)]"
5,-2148899391355011268,"[('-4110354420726924665', 0.8135846824401898), ('-7926018713416777892', 0.7684213429338553), ('4119190424078847945', 0.7242026112509694), ('2448026894306402386', 0.7080992535640245), ('-7292285110016212249', 0.6262316722474953)]"
6,4119190424078847945,"[('-2148899391355011268', 0.7242026112509694), ('-4110354420726924665', 0.708485650337048), ('2448026894306402386', 0.7076084179698838), ('-7292285110016212249', 0.702261658662254), ('-7926018713416777892', 0.6588747652343208)]"
7,-7926018713416777892,"[('-4110354420726924665', 0.8227109494395495), ('2448026894306402386', 0.7948928334624842), ('-7292285110016212249', 0.7773004682106526), ('-2148899391355011268', 0.7684213429338553), ('3353902017498793780', 0.7543681706593725)]"
8,3353902017498793780,"[('-7292285110016212249', 0.7865576688820212), ('-7926018713416777892', 0.7543681706593725), ('2448026894306402386', 0.7535014584226902), ('-4110354420726924665', 0.7365608524203918), ('-2826566343807132236', 0.7116634542209107)]"
9,1805789466376069146,"[('2448026894306402386', 0.5538521141092785), ('-7926018713416777892', 0.5486114089398612), ('-4110354420726924665', 0.5379865988180172), ('-6151852268067518688', 0.5135176452176344), ('-7292285110016212249', 0.49481040958908573)]"
